영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
미션 임파서블 2,3.0,3.65701,141806.0,15세 관람가,액션,미국,123.0,2000.0
취권,3.0,3.70643,82017.0,12세 관람가,액션,홍콩,107.0,1978.0
영웅 :  천하의 시작,5.0,3.51243,48967.0,15세 관람가,액션,중국,109.0,2002.0
트랜스포터 - 엑스트림,3.0,3.65099,65840.0,15세 관람가,액션,"프랑스, 미국",87.0,2005.0
와일드 카드,2.0,3.3757,62173.0,청소년 관람불가,액션,한국,114.0,2003.0
엽문 2,3.0,3.56924,79658.0,15세 관람가,액션,홍콩,108.0,2010.0
트랜스포터,3.0,3.73704,133562.0,15세 관람가,액션,프랑스,92.0,2002.0
크로우즈 제로,4.0,3.48069,94853.0,15세 관람가,액션,일본,129.0,2007.0
닌자 어쌔신,2.0,2.55139,117589.0,청소년 관람불가,액션,"미국, 독일",98.0,2009.0
오션스 일레븐,3.0,3.8856,213237.0,12세 관람가,액션,미국,116.0,2001.0
트랜스포터 - 라스트 미션,3.0,3.68131,121833.0,15세 관람가,액션,프랑스,103.0,2008.0
본 레거시,4.0,3.39774,115994.0,15세 관람가,액션,미국,135.0,2012.0
아드레날린 24,2.0,3.47059,97760.0,청소년 관람불가,액션,"영국, 미국",86.0,2006.0
바람의 파이터,3.0,3.1457,147077.0,12세 관람가,액션,한국,120.0,2004.0
아라한 장풍대작전,3.0,2.89316,231942.0,12세 관람가,액션,한국,114.0,2004.0
킬 빌 - 1부,5.0,3.73893,223626.0,청소년 관람불가,액션,미국,110.0,2003.0
엽문,3.0,3.70585,162957.0,12세 관람가,액션,홍콩,106.0,2008.0
호빗: 스마우그의 폐허,4.0,3.80367,161195.0,12세 관람가,판타지,"미국, 뉴질랜드",161.0,2013.0
중천,1.0,1.95485,26315.0,12세 관람가,판타지,한국,102.0,2006.0
호빗: 다섯 군대 전투,4.0,3.79774,91762.0,12세 관람가,판타지,"미국, 뉴질랜드",144.0,2014.0
무극,1.0,2.23342,5835.0,12세 관람가,판타지,"한국, 미국, 중국",101.0,2005.0
구미호 가족,1.0,2.07155,6226.0,15세 관람가,판타지,한국,102.0,2006.0
천녀유혼 2 - 인간도,4.0,3.6021,24589.0,15세 관람가,판타지,홍콩,103.0,1990.0
천녀유혼,4.0,3.37344,42178.0,12세 관람가,판타지,중국,98.0,2011.0
해리 포터와 아즈카반의 죄수,4.0,3.85926,392303.0,전체 관람가,판타지,"미국, 영국",141.0,2004.0
캐리비안의 해적 - 블랙 펄의 저주,5.0,3.95951,421895.0,12세 관람가,판타지,미국,143.0,2003.0
스파이더맨,3.0,3.7782,401514.0,12세 관람가,판타지,미국,121.0,2002.0
타이탄,3.0,3.03687,133808.0,12세 관람가,판타지,"영국, 미국",106.0,2010.0
배트맨 비긴즈,5.0,3.94308,298841.0,12세 관람가,판타지,미국,139.0,2005.0
엑스맨 탄생: 울버린,2.0,3.56268,241519.0,12세 관람가,판타지,미국,107.0,2009.0
반 헬싱,2.0,3.27605,152188.0,15세 관람가,판타지,"미국, 체코",131.0,2004.0
핸콕,3.0,3.37124,250024.0,12세 관람가,판타지,미국,92.0,2008.0
가위손,5.0,3.92325,252382.0,15세 관람가,판타지,미국,100.0,1990.0
해리 포터와 혼혈 왕자,4.0,3.72513,389566.0,전체 관람가,판타지,"영국, 미국",153.0,2009.0
찰리와 초콜릿 공장,4.0,3.69906,522117.0,전체 관람가,판타지,"미국, 영국",114.0,2005.0
