영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
중천,1.0,1.95485,,"26,413",151,330,조동오,"[정우성, 김태희, 김광일]",12세 관람가,판타지,한국,102.0,2006.0,"{""1"":3193,""2"":4722,""3"":2979,""4"":6475,""5"":2783,""6"":3977,""7"":983,""8"":870,""9"":120,""10"":311}",
호빗: 다섯 군대 전투,4.0,3.79774,,"92,687","6,510","4,223",피터 잭슨,"[이안 맥켈런, 마틴 프리먼, 리처드 아미티지]",12세 관람가,판타지,"미국, 뉴질랜드",144.0,2014.0,"{""1"":425,""2"":772,""3"":621,""4"":2412,""5"":3724,""6"":13730,""7"":18398,""8"":26978,""9"":11070,""10"":14557}",
무극,1.0,2.23342,,"5,841",52,146,천카이거,"[장동건, 장백지, 사나다 히로유키]",12세 관람가,판타지,"한국, 미국, 중국",101.0,2005.0,"{""1"":267,""2"":924,""3"":373,""4"":1839,""5"":418,""6"":1368,""7"":183,""8"":372,""9"":20,""10"":77}",
구미호 가족,1.0,2.07155,,"6,237",164,75,이형곤,"[주현, 박준규, 하정우]",15세 관람가,판타지,한국,102.0,2006.0,"{""1"":333,""2"":1254,""3"":486,""4"":1986,""5"":497,""6"":1197,""7"":125,""8"":266,""9"":11,""10"":82}",
천녀유혼 2 - 인간도,4.0,3.6021,,"24,626",824,120,정소동,"[장국영, 왕조현, 우마]",15세 관람가,판타지,홍콩,103.0,1990.0,"{""1"":95,""2"":628,""3"":153,""4"":1693,""5"":609,""6"":6279,""7"":2182,""8"":8119,""9"":764,""10"":4104}",
천녀유혼,4.0,3.37344,,"42,300","1,245",233,엽위신,"[고천락, 유역비, 여소군]",12세 관람가,판타지,중국,98.0,2011.0,"{""1"":416,""2"":1885,""3"":605,""4"":4288,""5"":1672,""6"":11018,""7"":3636,""8"":12172,""9"":1142,""10"":5466}",
해리 포터와 아즈카반의 죄수,4.0,3.85926,,"394,171","2,105","1,043",알폰소 쿠아론,"[다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트]",전체 관람가,판타지,"미국, 영국",141.0,2004.0,"{""1"":1042,""2"":5263,""3"":1570,""4"":14327,""5"":8259,""6"":79718,""7"":38596,""8"":127502,""9"":19206,""10"":98688}",
캐리비안의 해적 - 블랙 펄의 저주,5.0,3.95951,3.0,"423,345","4,206",957,고어 버빈스키,"[조니 뎁, 키이라 나이틀리, 올랜도 블룸]",12세 관람가,판타지,미국,143.0,2003.0,"{""1"":844,""2"":4107,""3"":1318,""4"":12273,""5"":6584,""6"":71414,""7"":37118,""8"":152547,""9"":22672,""10"":114468}",&#x27;조니뎁스럽다&#x27;는 형용사도 가능할 듯!
스파이더맨,3.0,3.7782,,"402,779","2,607","1,065",샘 레이미,"[토비 맥과이어, 커스틴 던스트, 윌렘 데포]",12세 관람가,판타지,미국,121.0,2002.0,"{""1"":867,""2"":4534,""3"":1565,""4"":15482,""5"":7888,""6"":90523,""7"":41481,""8"":146969,""9"":16575,""10"":76895}",
타이탄,3.0,3.03687,2.5,"134,138","1,445",433,루이스 리터리어,"[샘 워싱턴, 리암 니슨, 랄프 파인즈]",12세 관람가,판타지,"영국, 미국",106.0,2010.0,"{""1"":1319,""2"":8019,""3"":2555,""4"":21677,""5"":7677,""6"":45733,""7"":9403,""8"":25860,""9"":1423,""10"":10472}","그러니까, 항상 3-D로 볼 필요는 없어요."
배트맨 비긴즈,5.0,3.94308,,"299,713","8,113","1,617",크리스토퍼 놀란,"[크리스찬 베일, 리암 니슨, 케이티 홈즈]",12세 관람가,판타지,미국,139.0,2005.0,"{""1"":541,""2"":2849,""3"":779,""4"":8416,""5"":3972,""6"":51480,""7"":27982,""8"":110929,""9"":18486,""10"":74279}",
엑스맨 탄생: 울버린,2.0,3.56268,2.5,"242,334","3,535",786,개빈 후드,"[휴 잭맨, 리브 슈라이버, 대니 휴스턴]",12세 관람가,판타지,미국,107.0,2009.0,"{""1"":1525,""2"":5882,""3"":2560,""4"":17318,""5"":9271,""6"":61581,""7"":22961,""8"":72778,""9"":7051,""10"":41407}",울버린에 대해 이미 알고 있는 것과 굳이 알 필요 없는 것.
반 헬싱,2.0,3.27605,,"152,578","2,262",420,스티븐 소머즈,"[휴 잭맨, 케이트 베킨세일, 슐러 헨슬리]",15세 관람가,판타지,"미국, 체코",131.0,2004.0,"{""1"":791,""2"":4656,""3"":1996,""4"":16832,""5"":8194,""6"":50544,""7"":14629,""8"":38499,""9"":2696,""10"":13741}",
핸콕,3.0,3.37124,2.5,"250,752","3,364",968,피터 버그,"[윌 스미스, 샤를리즈 테론, 제이슨 베이트먼]",12세 관람가,판타지,미국,92.0,2008.0,"{""1"":1029,""2"":5688,""3"":2502,""4"":23586,""5"":11941,""6"":80392,""7"":26300,""8"":68831,""9"":5272,""10"":25211}",잘 나가던 영화를 어쭙잖은 신화가 잡아먹었다.
가위손,5.0,3.92325,4.5,"253,170","18,791","1,530",팀 버튼,"[조니 뎁, 위노나 라이더, 다이안 위스트]",15세 관람가,판타지,미국,100.0,1990.0,"{""1"":545,""2"":3416,""3"":777,""4"":8794,""5"":3428,""6"":42701,""7"":20949,""8"":92983,""9"":18223,""10"":61354}","팀 버튼적인, 너무나도 팀 버튼적인."
해리 포터와 혼혈 왕자,4.0,3.72513,,"391,327","2,421",830,데이빗 예이츠,"[다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트]",전체 관람가,판타지,"영국, 미국",153.0,2009.0,"{""1"":1478,""2"":9040,""3"":2232,""4"":23229,""5"":10381,""6"":89694,""7"":33888,""8"":115309,""9"":13518,""10"":92558}",
찰리와 초콜릿 공장,4.0,3.69906,3.5,"524,525","2,939","1,765",팀 버튼,"[조니 뎁, 프레디 하이모어, 미시 파일]",전체 관람가,판타지,"미국, 영국",114.0,2005.0,"{""1"":1254,""2"":8670,""3"":2751,""4"":29743,""5"":13502,""6"":122449,""7"":54278,""8"":170146,""9"":25304,""10"":96428}",판타지 왕국의 수도는 팀 버튼.
기다리다 미쳐,4.0,2.17996,,"6,630",118,103,류승진,"[장근석, 손태영, 장희진]",15세 관람가,로맨스/멜로,한국,108.0,2007.0,"{""1"":322,""2"":1165,""3"":461,""4"":2002,""5"":484,""6"":1533,""7"":205,""8"":377,""9"":16,""10"":65}",
키친,3.0,2.70387,,"31,812","1,202",303,홍지영,"[신민아, 주지훈, 김태우]",15세 관람가,로맨스/멜로,한국,102.0,2009.0,"{""1"":804,""2"":2245,""3"":1587,""4"":6349,""5"":3573,""6"":9383,""7"":2850,""8"":3693,""9"":350,""10"":978}",
백만장자의 첫사랑,3.0,2.26912,,"19,692",225,291,김태균,"[현빈, 이연희, 이한솔]",12세 관람가,로맨스/멜로,한국,116.0,2006.0,"{""1"":1041,""2"":3595,""3"":1206,""4"":5176,""5"":1366,""6"":4440,""7"":701,""8"":1581,""9"":80,""10"":506}",
슬픔보다 더 슬픈 이야기,1.0,3.26909,,"46,468","2,998",425,원태연,"[권상우, 이보영, 이범수]",15세 관람가,로맨스/멜로,한국,105.0,2009.0,"{""1"":999,""2"":2866,""3"":1148,""4"":5256,""5"":2465,""6"":10433,""7"":4200,""8"":10382,""9"":1935,""10"":6784}",
시월애,4.0,3.40057,,"67,927","8,032",465,이현승,"[이정재, 전지현, 조승연]",12세 관람가,로맨스/멜로,한국,94.0,2000.0,"{""1"":310,""2"":2180,""3"":654,""4"":6254,""5"":2690,""6"":19571,""7"":7370,""8"":19274,""9"":2527,""10"":7097}",
...ing,3.0,2.98247,,"58,547","1,872",238,이언희,"[임수정, 김래원, 이미숙]",12세 관람가,로맨스/멜로,한국,110.0,2003.0,"{""1"":496,""2"":4420,""3"":1050,""4"":9500,""5"":3198,""6"":20117,""7"":4307,""8"":11009,""9"":683,""10"":3767}",
클로저,4.0,3.70706,,"93,960","16,343","1,405",마이크 니콜스,"[나탈리 포트만, 주드 로, 줄리아 로버츠]",청소년 관람불가,로맨스/멜로,미국,103.0,2004.0,"{""1"":272,""2"":2569,""3"":461,""4"":5578,""5"":2180,""6"":19541,""7"":9601,""8"":29628,""9"":6146,""10"":17984}",
"다만, 널 사랑하고 있어",3.0,3.59537,,"146,081","11,726",867,신조 타케히코,"[타마키 히로시, 미야자키 아오이, 우에하라 미사]",12세 관람가,로맨스/멜로,일본,116.0,2006.0,"{""1"":937,""2"":5037,""3"":1412,""4"":10854,""5"":4742,""6"":33071,""7"":13241,""8"":42346,""9"":6226,""10"":28215}",
너는 내 운명,3.0,3.70567,,"220,017","10,034",665,박진표,"[전도연, 황정민, 나문희]",청소년 관람불가,로맨스/멜로,한국,121.0,2005.0,"{""1"":676,""2"":4366,""3"":1011,""4"":12245,""5"":4585,""6"":52023,""7"":18817,""8"":75963,""9"":8729,""10"":41602}",
"지금, 만나러 갑니다",3.0,3.8818,,"230,978","16,121","1,493",도이 노부히로,"[타케우치 유코, 나카무라 시도, 타케이 아카시]",12세 관람가,로맨스/멜로,일본,118.0,2004.0,"{""1"":822,""2"":5393,""3"":1101,""4"":11479,""5"":4016,""6"":40739,""7"":16596,""8"":71663,""9"":13260,""10"":65909}",
아이 인사이드,3.0,3.41171,,"11,796","4,220",152,롤란드 수소 리흐터,"[라이언 필립, 사라 폴리, 파이퍼 페라보]",15세 관람가,스릴러,미국,93.0,2003.0,"{""1"":42,""2"":421,""3"":78,""4"":878,""5"":420,""6"":3518,""7"":1331,""8"":3707,""9"":329,""10"":1072}",
더 재킷,3.0,3.45044,,"25,315","4,823",260,존 메이버리,"[애드리언 브로디, 키이라 나이틀리, 크리스 크리스토퍼슨]",15세 관람가,스릴러,"미국, 영국, 독일",102.0,2005.0,"{""1"":100,""2"":658,""3"":196,""4"":2018,""5"":1035,""6"":6885,""7"":3098,""8"":7895,""9"":1006,""10"":2424}",
10억,2.0,2.56288,,"151,143","1,139",736,조민호,"[박해일, 박희순, 신민아]",15세 관람가,스릴러,한국,114.0,2009.0,"{""1"":5373,""2"":18924,""3"":6934,""4"":33577,""5"":12551,""6"":39826,""7"":9874,""8"":16838,""9"":1439,""10"":5807}",
데스 노트,1.0,3.04751,,"239,536","1,122",943,카네코 슈스케,"[후지와라 타츠야, 마츠야마 켄이치, 호소카와 시게키]",12세 관람가,스릴러,일본,126.0,2006.0,"{""1"":4689,""2"":16578,""3"":6422,""4"":35044,""5"":15255,""6"":67570,""7"":19926,""8"":47113,""9"":4697,""10"":22242}",
디스터비아,3.0,3.31497,,"79,644","2,308",435,D.J. 카루소,"[샤이아 라보프, 사라 로머, 데이빗 모스]",12세 관람가,스릴러,미국,104.0,2007.0,"{""1"":243,""2"":2294,""3"":702,""4"":7332,""5"":3644,""6"":26083,""7"":10206,""8"":21955,""9"":1884,""10"":5301}",
바닐라 스카이,5.0,3.68957,,"126,071","13,782",872,페르난도 메이렐레스,"[줄리안 무어, 마크 러팔로, 가엘 가르시아 베르날]",청소년 관람불가,스릴러,미국,135.0,2001.0,"{""1"":724,""2"":3995,""3"":1158,""4"":10541,""5"":5277,""6"":34495,""7"":15576,""8"":36400,""9"":4923,""10"":12982}",
눈먼 자들의 도시,3.0,3.41917,,"104,270","15,627","1,099",카메론 크로우,"[톰 크루즈, 페넬로페 크루즈, 카메론 디아즈]",청소년 관람불가,스릴러,"미국, 캐나다, 일본",120.0,2008.0,"{""1"":360,""2"":2952,""3"":499,""4"":6689,""5"":2283,""6"":22634,""7"":9270,""8"":33243,""9"":6542,""10"":19798}",
식스 센스,3.0,4.12837,,"317,642","20,274","1,799",M. 나이트 샤말란,"[브루스 윌리스, 할리 조엘 오스먼트, 토니 콜렛]",12세 관람가,스릴러,미국,107.0,1999.0,"{""1"":581,""2"":2778,""3"":567,""4"":5893,""5"":2628,""6"":36866,""7"":21145,""8"":117997,""9"":27075,""10"":102112}",
프레스티지,3.0,3.77823,,"109,165","21,254","1,615",크리스토퍼 놀란,"[휴 잭맨, 크리스찬 베일, 마이클 케인]",15세 관람가,스릴러,"영국, 미국",130.0,2006.0,"{""1"":324,""2"":2623,""3"":396,""4"":4788,""5"":2030,""6"":19876,""7"":12245,""8"":38057,""9"":8897,""10"":19929}",
더 게임,2.0,3.2152,,"177,380","3,385",603,윤인호,"[신하균, 변희봉, 손현주]",15세 관람가,스릴러,한국,116.0,2007.0,"{""1"":1532,""2"":8508,""3"":2733,""4"":22869,""5"":9128,""6"":52786,""7"":15500,""8"":43809,""9"":3983,""10"":16532}",
데스 노트 - 라스트 네임,1.0,2.95679,,"207,363",876,518,카네코 슈스케,"[후지와라 타츠야, 마츠야마 켄이치, 나카무라 시도]",12세 관람가,스릴러,"미국, 일본",139.0,2006.0,"{""1"":4054,""2"":20179,""3"":4676,""4"":35864,""5"":10318,""6"":58259,""7"":12025,""8"":39045,""9"":2634,""10"":20309}",
폰 부스,4.0,3.77328,,"213,158","7,320","1,295",조엘 슈마허,"[콜린 파렐, 포레스트 휘태커, 키퍼 서덜랜드]",12세 관람가,스릴러,미국,81.0,2002.0,"{""1"":524,""2"":4565,""3"":747,""4"":10375,""5"":3561,""6"":42932,""7"":18814,""8"":78580,""9"":11162,""10"":41898}",
설국열차,3.0,3.75864,,"465,284","17,081","5,418",봉준호,"[크리스 에반스, 송강호, 고아성]",15세 관람가,SF,한국,125.0,2013.0,"{""1"":1527,""2"":4950,""3"":2701,""4"":16756,""5"":14099,""6"":88687,""7"":66892,""8"":160974,""9"":35320,""10"":73378}",
13층,3.0,3.7336,,"45,383","12,772",703,조세프 루스낵,"[크레이그 비에코, 그레첸 몰, 아민 뮬러-스탈]",12세 관람가,SF,"독일, 미국",98.0,1999.0,"{""1"":111,""2"":1202,""3"":182,""4"":2234,""5"":833,""6"":8945,""7"":4549,""8"":16588,""9"":2877,""10"":7862}",
점퍼,3.0,3.40473,,"238,729","3,683","1,097",더그 라이만,"[헤이든 크리스텐슨, 사무엘 L. 잭슨, 제이미 벨]",15세 관람가,SF,미국,88.0,2008.0,"{""1"":1181,""2"":4895,""3"":2846,""4"":21073,""5"":12631,""6"":70146,""7"":27955,""8"":65740,""9"":6609,""10"":25653}",
12 몽키즈,4.0,3.73529,,"69,224","10,617",785,테리 길리암,"[브루스 윌리스, 매들린 스토우, 브래드 피트]",15세 관람가,SF,미국,129.0,1995.0,"{""1"":148,""2"":1393,""3"":291,""4"":3616,""5"":1261,""6"":14192,""7"":6894,""8"":25425,""9"":4272,""10"":11732}",
디스트릭트 9,4.0,3.82466,,"227,763","11,087","2,334",닐 블롬캠프,"[샬토 코플리, 제이슨 코프, 바네사 헤이우드]",청소년 관람불가,SF,"미국, 뉴질랜드, 캐나다, 남아프리카 공화국",112.0,2009.0,"{""1"":1028,""2"":4822,""3"":1319,""4"":11537,""5"":4662,""6"":38363,""7"":20371,""8"":76006,""9"":19329,""10"":50326}",
클로버필드,4.0,3.32635,3.0,"87,499","5,057",948,맷 리브스,"[리지 캐플란, T.J. 밀러, 제시카 루카스]",15세 관람가,SF,미국,85.0,2008.0,"{""1"":849,""2"":4328,""3"":1028,""4"":9684,""5"":3841,""6"":22726,""7"":8575,""8"":23272,""9"":2951,""10"":10245}",아찔한 현장감. 그래도 한번 더 볼 것 같진 않다.
아부의 왕,1.0,2.47844,2.0,"25,064",432,195,정승구,"[성동일, 송새벽, 한채아]",15세 관람가,코미디,한국,118.0,2012.0,"{""1"":1210,""2"":2939,""3"":1563,""4"":5582,""5"":2464,""6"":6276,""7"":1740,""8"":2354,""9"":216,""10"":720}",예고편을 잘 만들었다.
퍼스트 어벤져,3.0,3.44168,,"192,925","4,786","1,616",조 존스톤,"[크리스 에반스, 휴고 위빙, 토미 리 존스]",12세 관람가,판타지,미국,123.0,2011.0,"{""1"":901,""2"":5144,""3"":2046,""4"":16585,""5"":9385,""6"":52663,""7"":24708,""8"":49353,""9"":7402,""10"":24738}",
챔프,1.0,2.90725,,"11,772",558,95,이환경,"[차태현, 유오성, 박하선]",12세 관람가,드라마,한국,133.0,2011.0,"{""1"":207,""2"":982,""3"":344,""4"":2082,""5"":822,""6"":3476,""7"":874,""8"":1922,""9"":162,""10"":901}",
너는 펫,1.0,2.28755,,"35,824",432,338,김병곤,"[김하늘, 장근석, 강하늘]",12세 관람가,로맨틱 코미디,한국,110.0,2011.0,"{""1"":2396,""2"":6281,""3"":2012,""4"":8486,""5"":2590,""6"":8524,""7"":1414,""8"":3065,""9"":128,""10"":928}",
전국노래자랑,1.0,2.60612,,"39,843",846,387,이종필,"[김인권, 류현경, 유연석]",12세 관람가,코미디,한국,112.0,2012.0,"{""1"":1666,""2"":3925,""3"":2224,""4"":7599,""5"":4317,""6"":10866,""7"":3167,""8"":4101,""9"":446,""10"":1532}",
루퍼,4.0,3.48206,,"93,535","16,363","1,261",라이언 존슨,"[조셉 고든-레빗, 브루스 윌리스, 에밀리 블런트]",청소년 관람불가,SF,미국,119.0,2012.0,"{""1"":288,""2"":2032,""3"":561,""4"":6295,""5"":3416,""6"":25718,""7"":13240,""8"":30097,""9"":3554,""10"":8334}",
다크 섀도우,3.0,2.74808,,"30,649","2,513",682,팀 버튼,"[조니 뎁, 에바 그린, 미쉘 파이퍼]",15세 관람가,로맨틱 코미디,미국,112.0,2012.0,"{""1"":730,""2"":1872,""3"":1339,""4"":5814,""5"":3835,""6"":9108,""7"":2874,""8"":3861,""9"":317,""10"":899}",
소스 코드,4.0,3.70224,,"232,416","12,798","1,744",던칸 존스,"[제이크 질렌할, 미쉘 모나한, 제프리 라이트]",12세 관람가,SF,"미국, 프랑스",93.0,2011.0,"{""1"":482,""2"":3364,""3"":961,""4"":11430,""5"":5486,""6"":52436,""7"":27109,""8"":82530,""9"":13185,""10"":35433}",
점쟁이들,3.0,2.39666,,"33,605",346,437,신정원,"[김수로, 강예원, 곽도원]",15세 관람가,코미디,한국,119.0,2012.0,"{""1"":1498,""2"":4755,""3"":1860,""4"":8409,""5"":2979,""6"":8467,""7"":1689,""8"":2996,""9"":154,""10"":798}",
가문의 영광5-가문의 귀환,1.0,2.3923,,"48,766",284,258,정용기,"[정준호, 김민정, 유동근]",15세 관람가,코미디,한국,104.0,2012.0,"{""1"":4514,""2"":8046,""3"":2823,""4"":8484,""5"":3841,""6"":9982,""7"":3091,""8"":4749,""9"":603,""10"":2633}",
알투비:리턴투베이스,1.0,2.4328,2.0,"59,970",597,592,김동원,"[정지훈, 이종석, 유준상]",15세 관람가,액션,한국,113.0,2012.0,"{""1"":4623,""2"":7983,""3"":3850,""4"":11307,""5"":5638,""6"":13534,""7"":4200,""8"":6021,""9"":577,""10"":2237}",아마도 올해 가장 짜증나는 한국영화 주인공 캐릭터일 듯.
돈의 맛,1.0,2.52439,,"87,350","1,325",657,임상수,"[김강우, 백윤식, 윤여정]",청소년 관람불가,스릴러,한국,115.0,2012.0,"{""1"":3657,""2"":9147,""3"":4589,""4"":19576,""5"":8958,""6"":24014,""7"":6338,""8"":8178,""9"":699,""10"":2194}",
토르: 천둥의 신,3.0,3.42266,,"271,491","3,859","1,415",케네스 브래너,"[크리스 헴스워스, 나탈리 포트만, 안소니 홉킨스]",12세 관람가,판타지,미국,112.0,2011.0,"{""1"":1544,""2"":7844,""3"":3193,""4"":25326,""5"":13207,""6"":76022,""7"":29300,""8"":69791,""9"":7567,""10"":37697}",
웜 바디스,4.0,3.18514,,"164,400","7,616","1,960",조나단 레빈,"[니콜라스 홀트, 테레사 팔머, 존 말코비치]",15세 관람가,코미디,미국,96.0,2013.0,"{""1"":2972,""2"":6405,""3"":4411,""4"":17231,""5"":13087,""6"":43937,""7"":22602,""8"":35124,""9"":5275,""10"":13356}",
간기남,3.0,2.62985,,"132,392","1,148",503,김형준,"[박희순, 박시연, 주상욱]",청소년 관람불가,스릴러,한국,117.0,2012.0,"{""1"":4360,""2"":15647,""3"":5514,""4"":28774,""5"":9522,""6"":37099,""7"":7242,""8"":16669,""9"":990,""10"":6575}",
간첩,2.0,2.74421,,"29,203",634,329,우민호,"[김명민, 염정아, 유해진]",15세 관람가,드라마,한국,115.0,2012.0,"{""1"":535,""2"":1875,""3"":1105,""4"":5952,""5"":2906,""6"":9767,""7"":2544,""8"":3477,""9"":245,""10"":797}",
은교,4.0,2.98298,,"267,130","4,468","1,630",정지우,"[박해일, 김고은, 김무열]",청소년 관람불가,로맨스/멜로,한국,129.0,2012.0,"{""1"":4164,""2"":16427,""3"":6295,""4"":42308,""5"":18565,""6"":85441,""7"":25362,""8"":47759,""9"":4827,""10"":15982}",
브레이킹 던 part1,3.0,3.51084,2.0,"245,946","2,640",566,빌 콘돈,"[로버트 패틴슨, 크리스틴 스튜어트, 테일러 로트너]",15세 관람가,판타지,미국,117.0,2011.0,"{""1"":4628,""2"":13543,""3"":3961,""4"":21187,""5"":9505,""6"":50448,""7"":18155,""8"":58202,""9"":7420,""10"":58897}",여기까지 시리즈를 다 봤는데도 최종편이 안 궁금하다니.
오블리비언,3.0,3.44597,,"115,861","7,316","1,565",조셉 코신스키,"[톰 크루즈, 모건 프리먼, 올가 쿠릴렌코]",15세 관람가,SF,미국,124.0,2013.0,"{""1"":600,""2"":2401,""3"":1159,""4"":8228,""5"":5509,""6"":31259,""7"":17768,""8"":33597,""9"":4950,""10"":10390}",
만추,2.0,3.31623,4.0,"114,578","13,304","1,625",김태용,"[현빈, 탕웨이, 제임스 C. 번스]",15세 관람가,로맨스/멜로,"미국, 한국",115.0,2010.0,"{""1"":985,""2"":5843,""3"":1622,""4"":12566,""5"":5026,""6"":29658,""7"":12215,""8"":29058,""9"":5054,""10"":12551}",결국 사랑은 시간을 선물하는 일.
원스,4.0,3.91168,5.0,"292,357","28,848","2,449",존 카니,"[글렌 핸사드, 마케타 잉글로바, 시낸 허프]",전체 관람가,로맨스/멜로,아일랜드,86.0,2006.0,"{""1"":832,""2"":4454,""3"":1305,""4"":11127,""5"":5366,""6"":48281,""7"":25553,""8"":99658,""9"":21670,""10"":74111}",음악이 이야기를 만나는 가장 아름다운 방식.
잘 알지도 못하면서,3.0,3.38022,,"19,557","4,621",367,홍상수,"[김태우, 고현정, 엄지원]",청소년 관람불가,로맨스/멜로,한국,126.0,2008.0,"{""1"":159,""2"":765,""3"":232,""4"":1753,""5"":705,""6"":4890,""7"":2535,""8"":6065,""9"":833,""10"":1620}",
혹성탈출: 진화의 시작,4.0,3.71281,,"317,125","6,811","1,905",루퍼트 와이어트,"[제임스 프랭코, 프리다 핀토, 앤디 서키스]",12세 관람가,SF,미국,106.0,2011.0,"{""1"":1298,""2"":5901,""3"":1700,""4"":16375,""5"":6986,""6"":65558,""7"":34513,""8"":112597,""9"":21634,""10"":50563}",
그랜 토리노,3.0,3.89082,4.5,"55,288","12,569","1,095",클린트 이스트우드,"[클린트 이스트우드, 크리스토퍼 칼리, 비 방]",12세 관람가,드라마,미국,116.0,2008.0,"{""1"":117,""2"":1235,""3"":140,""4"":2082,""5"":679,""6"":8491,""7"":5069,""8"":19881,""9"":5957,""10"":11637}",클린트 이스트우드가 미리 써둔 유서를 보았다.
렛 미 인,3.0,3.7045,,"93,380","19,619","1,368",토마스 알프레드슨,"[카레 헤레브란트, 리나 레안데르손, 카린 베그퀴스트]",15세 관람가,공포,스웨덴,114.0,2008.0,"{""1"":404,""2"":2541,""3"":585,""4"":5399,""5"":2241,""6"":18402,""7"":9506,""8"":30537,""9"":7115,""10"":16650}",
밀리언 달러 베이비,3.0,3.76991,,"91,013","13,700",721,클린트 이스트우드,"[클린트 이스트우드, 힐러리 스웽크, 모건 프리먼]",12세 관람가,드라마,미국,133.0,2004.0,"{""1"":230,""2"":1554,""3"":328,""4"":3807,""5"":1542,""6"":18717,""7"":9213,""8"":34028,""9"":6107,""10"":15487}",
디파티드,3.0,3.65439,,"75,924","12,466",997,마틴 스콜세지,"[레오나르도 디카프리오, 맷 데이먼, 잭 니콜슨]",15세 관람가,범죄,미국,151.0,2006.0,"{""1"":156,""2"":1791,""3"":287,""4"":4206,""5"":1559,""6"":17213,""7"":8309,""8"":27756,""9"":4206,""10"":10441}",
허트 로커,3.0,3.79193,4.5,"84,703","12,957","1,340",캐스린 비글로우,"[제레미 레너, 안소니 마키, 브라이언 게라그티]",15세 관람가,전쟁,미국,130.0,2008.0,"{""1"":202,""2"":2201,""3"":268,""4"":4211,""5"":1141,""6"":15370,""7"":7302,""8"":31050,""9"":6867,""10"":16091}",하도 긴장하면서 봤더니 몸이 다 아프네.
슬럼독 밀리어네어,2.0,3.89361,,"228,416","20,226","1,426",대니 보일,"[루비아나 알리, 마드허 미탈, 아슈토시 로보 가지와라]",15세 관람가,드라마,"영국, 미국",120.0,2008.0,"{""1"":494,""2"":2527,""3"":652,""4"":6830,""5"":3394,""6"":37440,""7"":24030,""8"":89429,""9"":17680,""10"":45940}",
해바라기,3.0,3.79847,,"279,004","5,309","1,101",강석범,"[김래원, 김해숙, 허이재]",15세 관람가,액션,한국,116.0,2006.0,"{""1"":1156,""2"":7022,""3"":1740,""4"":16277,""5"":6315,""6"":53876,""7"":20523,""8"":86159,""9"":13155,""10"":72781}",
리미트리스,3.0,3.86227,,"165,067","15,227","1,844",닐 버거,"[브래들리 쿠퍼, 로버트 드 니로, 애비 코니쉬]",15세 관람가,SF,미국,105.0,2011.0,"{""1"":332,""2"":1812,""3"":563,""4"":5477,""5"":3646,""6"":28887,""7"":19374,""8"":59071,""9"":11324,""10"":34581}",
토르: 다크 월드,3.0,3.61026,,"201,155","8,272","2,260",앨런 테일러,"[크리스 헴스워스, 나탈리 포트만, 톰 히들스턴]",12세 관람가,판타지,미국,112.0,2013.0,"{""1"":1064,""2"":3163,""3"":1973,""4"":10646,""5"":8912,""6"":45172,""7"":30419,""8"":60075,""9"":9784,""10"":29947}",
인정사정 볼 것 없다,3.0,3.5132,,"92,673","4,674",440,이명세,"[안성기, 박중훈, 장동건]",12세 관람가,액션,한국,112.0,1999.0,"{""1"":278,""2"":2037,""3"":507,""4"":6244,""5"":2300,""6"":26653,""7"":10160,""8"":32105,""9"":3025,""10"":9364}",
범죄의 재구성,3.0,3.79031,4.0,"170,286","9,963",872,최동훈,"[박신양, 백윤식, 염정아]",청소년 관람불가,범죄,한국,116.0,2004.0,"{""1"":350,""2"":2171,""3"":660,""4"":6433,""5"":3112,""6"":34239,""7"":17306,""8"":67576,""9"":8687,""10"":29752}",Coooooooool !
미션 임파서블,4.0,4.07217,,"228,146","6,790",920,브라이언 드 팔마,"[톰 크루즈, 빙 라메스, 바네사 레드그레이브]",15세 관람가,액션,미국,110.0,1996.0,"{""1"":276,""2"":1476,""3"":365,""4"":3928,""5"":1925,""6"":30771,""7"":17772,""8"":91244,""9"":14587,""10"":65802}",
21,3.0,3.5912,,"139,467","5,397",671,로버트 루케틱,"[짐 스터게스, 케빈 스페이시, 케이트 보스워스]",15세 관람가,범죄,미국,122.0,2008.0,"{""1"":389,""2"":2490,""3"":943,""4"":7854,""5"":4922,""6"":35213,""7"":17443,""8"":46077,""9"":5886,""10"":18250}",
파수꾼,5.0,3.96741,,"83,412","20,916","2,212",윤성현,"[이제훈, 서준영, 박정민]",15세 관람가,드라마,한국,117.0,2010.0,"{""1"":257,""2"":1155,""3"":330,""4"":2454,""5"":1288,""6"":10796,""7"":8412,""8"":29022,""9"":10716,""10"":18982}",
콘스탄틴,3.0,3.82444,,"260,318","10,892","1,800",프란시스 로렌스,"[키아누 리브스, 레이첼 와이즈, 샤이아 라보프]",15세 관람가,판타지,미국,120.0,2005.0,"{""1"":694,""2"":3688,""3"":1202,""4"":11426,""5"":5456,""6"":50285,""7"":24772,""8"":90565,""9"":15423,""10"":56807}",
