0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
1349,1682,7099,6704,16416,35396,75933,32174,161435,170203
5825,7801,21072,18959,50559,17265,85710,2303,36819,14399
1515,2862,8509,9753,23295,13566,53535,2129,32345,10204
1520,2543,8136,10333,23253,27111,82344,7091,78244,31726
2461,4481,10878,16397,31059,27844,88809,5771,67333,23516
1100,2171,5308,11145,19845,32222,85054,10184,99960,58375
4905,7890,21657,23160,57763,30874,131537,4249,77494,23786
1203,1045,5425,4993,10855,36212,61362,44011,209243,193311
905,1503,4799,8028,14753,34049,76455,18459,136148,105464
1095,1134,5860,4210,12084,22580,51302,25916,121204,139314
668,790,3526,3769,8881,29722,61172,54869,200584,290872
2967,3421,16360,6294,26382,6467,37576,731,20278,5205
415,724,2355,4451,7965,26810,55042,13092,105210,58643
1066,2505,4929,13044,21154,44172,102333,10859,112590,37325
3205,4572,11707,12999,26963,22383,65138,6292,56692,29357
1029,1397,4894,6296,12728,37583,72187,42457,194552,178670
2102,2495,8575,9226,18832,39843,69309,40543,141971,157031
1097,1240,5343,4775,12198,27057,56787,67453,176077,329120
3950,7335,18869,27105,58579,50842,162763,11155,129041,52901
2354,3551,8696,15091,27650,50748,113286,19304,156453,70238
2454,2834,9318,10007,21965,40146,88064,27999,178142,166031
568,889,3140,5609,10022,36958,64468,22227,145229,86638
5155,6281,17557,17394,40058,30178,101756,10829,118686,106789
1807,3380,10445,10207,28714,12146,59417,1427,32062,9297
2332,4431,8660,11649,24145,11101,43707,1305,17596,4198
1750,2928,7476,11510,21556,35296,74257,11101,78239,31894
496,905,2176,3488,6278,8330,20308,2391,18923,7633
1486,2356,6002,8063,15451,15859,44124,4720,39419,19070
6039,9523,23786,22698,52351,23450,90296,3163,43081,13390
590,576,2944,2625,6233,17874,34826,20776,100119,108730
401,989,3087,5474,10958,22994,55656,8682,75668,33656
1440,1864,6738,7497,15872,30713,67048,17955,121460,85326
1503,2570,8438,8152,23439,15136,56781,3013,50392,21488
2951,5783,13890,25860,50662,62480,185491,14802,179537,68548
1233,1621,6748,7216,16109,29988,68095,22479,117669,120910
6200,5916,19513,13350,34811,20794,71232,6664,67326,59203
617,1405,2906,7553,13074,31338,67954,10194,99446,50476
1367,2106,6501,8344,18641,27238,69558,14607,100181,67479
1135,1906,5077,7726,14922,21257,58014,8019,78144,50329
710,1478,3716,7938,14078,30224,65697,11300,92216,40285
2046,3310,11076,8135,26286,8562,44937,929,19937,4958
810,1437,4710,6533,14485,20186,55083,6929,64848,26730
1765,3068,8106,9245,21359,10784,45311,1402,25576,7997
5035,4718,13582,11133,24139,19493,57661,6726,59188,54669
2389,3493,12643,9715,29597,18253,57335,6985,41282,15631
903,1815,4476,8240,15694,26515,62224,10246,84128,49967
768,1380,4297,4954,11701,9227,33670,1985,25317,9804
810,1212,3560,6790,9885,41272,64469,36431,177774,161952
11691,4643,27785,3606,19770,1505,12434,127,3262,1147
2547,1326,11235,1567,8706,1205,8660,182,4092,1806
849,1260,4270,6018,11534,38635,67738,49771,200281,241354
1388,2371,9240,9004,25068,26103,72305,6352,67941,19121
2732,4211,9887,13953,24982,30795,79820,10418,89648,52723
1233,2391,6567,11670,23664,37857,91979,13859,111891,50808
1520,2551,6207,10947,20384,32030,78362,12611,93701,52620
2742,4109,13227,11398,28346,16272,57359,2790,37956,12777
3473,5226,12905,12631,30132,12181,52360,1423,23059,6613
5149,6809,21595,12107,41009,7511,48434,1117,19064,11367
2294,1974,10874,2424,11614,1543,12501,156,4559,1562
3048,5768,14707,21668,46945,43401,143152,9588,122528,45733
4942,3923,12249,9128,19566,19253,47668,9336,61383,65258
666,1533,4028,9550,16819,38726,90918,11944,120299,50011
1252,1768,6389,8544,16135,33381,71666,16768,109264,96076
976,2276,5376,10056,20762,20440,65778,4395,54182,18128
4279,6782,15951,16806,42049,18548,82194,3080,44029,19876
1428,1982,9550,6934,23294,26082,71763,13216,85645,35548
8613,9764,29830,22632,56660,24693,97289,4324,61267,26241
1083,1930,5168,9544,16891,30515,72560,12911,109766,81410
584,1214,3193,7469,12313,38345,72485,17411,123842,47309
1221,1764,6264,9101,16788,37631,83216,17778,127363,100923
1202,1256,6398,4574,12785,23963,53262,27965,123927,140869
4240,7025,19592,22416,51750,33274,128972,5537,87580,30359
