name,이동진 별점,이동진 코멘트
다형님,4.0,원석인 만큼 다듬어지지 못한 것이 느껴진다. 다만 무간도는 &#x27;영화&#x27;로 시작하여 &#x27;장르&#x27;가 되었다. 이 사실만으로도 볼 이유가 충분하다.
jhP,5.0,쏘우는 1편에서 끝났어야했다
무비러버,4.5,아내와 딸을 잃은 가장을 응원하고 싶었기에 결말이 맘에 안듦
이동진 평론가,4.0,"타인은 지옥, 그 지옥의 가장 뜨거운 불은 생존본능."
김정우,3.5,현실에서 박해일처럼 들이데면 싸다구맞는다
김진,4.0,나중엔 진짜 이쁜 여자란 착각까지 든다...ㅋㅋㅋㅋㅋㅋㅋ
최종현,2.0,"와 이런상상은 누가하나
             하 이런구성은 누가했냐"
송홍근,3.5,차라리 귀신의 존재가 드러나지 않았다면... 하는 아쉬움이 진하게 남는 영화. 심리묘사나 열린 결말 등은 좋았는데 뭔가 아쉬움이 남는 찜찜함.
이동진 평론가,4.0,낯 간지럽지 않게 순정을 말할 줄 아는 로맨틱코미디.
이동진 평론가,4.0,쉽다. 깊다. 좋다. 마음을 가져간다.
Hyein Hong,4.0,다 된 영화에 에릭뿌리기
Abby Ghana Lee,5.0,사랑스러운 가족 드라마! 최고다! 2편은 대체 언제 나오나...
이동진 평론가,3.0,뛰어난 배우 한 명이 한 작품에서 차지할 수 있는 비중의 극대치.
Su Yeon  Hong,5.0,누가 1편만한 2편이없다고했지? 이건 대박이야! 난방고장나서 추운 상영관에서 덜덜떨면서봤는데도 긴러닝타임내내 개쩔었음!
무비라이프,0.5,별 반개 생겼다
원세용,1.5,극장에서 존 트라볼타한테 싸대기맞은기분.
해바라기,2.0,"이도 아닌 것이, 저도 아닌 것이."
손영우,3.5,"솔직히 딴건 모르겠고, 영화 내내 나오는 노래가 너무나 좋을 뿐..."
이동진 평론가,4.5,"기타노 다케시, 최고의 엔터테이너."
Moe Cha,2.5,"성룡은꼭
외국인호구하나를
데리고다닌다"
영화보는 변준수,1.5,A급 배우가지고 뭐한거야.
filmwright,4.0,하룻밤 속성으로 사력을 다해 알려주는 킬러의 인생교습. 악당을 해도 멋있는 톰 크루즈.
검은각반,4.0,"스즈란 양아치들은 수업도 안듣고, 선생님도 패고 하면서 
교복입고 학교는 안빠지고 잘 간다."
신현영,2.5,성룡 이런거 이제 그만~
오뱅이삼촌,1.0,"쌍권총, 비둘기, 슬로우모션까지 헐리우드판 영웅본색인가요? 전편의 긴장감과 속도감은 어디다 팔아먹고 젠장..."
조규식,4.0,정교한 기술의 차원을 넘어 예술의 영역을 기웃거리는 중국무술과 얼빠지고 유치한 코메디와의 일견 불안하고 어색한 조합. 헌데 이 조합에서 놀라운 시너지가 성공적으로 뿜어져나온다.
박하림,3.0,망진자는 호야니라
Ha ma,3.0,"&lt;트랜스포터 - 엑스트림&gt; 이후로 제이슨 스타뎀, 스타됨"
Sanghyun Lim,5.0,난 이 영화가 왜이리 좋지?
신승헌,3.0,홍금보를 데리고 와도 비슷한 스토리를 액션으로 벗어나지 못한 점이 아쉬운 영화
신승헌,3.5,"뛰어난 액션 
한 방향으로 영화가 뛰어나면 다른 방향이 취약해도 영화적 재미는 괜찮을 수 있다."
김형주,4.0,크로우즈같은 학원물은 만화책으로나 봐야지 배우가 연기하면 오그라들어서 어떻게 봄? 만화의 초현실적 위트와 간지를 표현해낼 수 있을리가 없지! 했는데.. 그것이 실제로 일어났습니다.
라브레,1.0,월드스타라고 우기는 비의 망작
hallload,3.0,여주인공 피부가 영화보는데 방해되는 건 난생처음이다
지예,3.5,"제목부터 주인공과 11명들이라, 배우인식장애를 가진 나로선 출연진을 예습함. 근데 막상 차근차근 열맞춰 등장해서 어렵지 않았음. 중요한 놈은 자주 나오고 역할은 요점만 딱딱 짚고! 정리 잘 된 족보 같았음. 그치만 공부는 싫음. 두번 싫음."
hilts,2.5,본? 이거시??
SJ,4.0,"(지금까지) 스타뎀의 최고작은 아드레날린24. 물 만난 물고기 마냥 매 순간을 휘젓고 다닌다.
　"
한승택,3.0,"최배달... 어려운 시기, 그의 도전 정신은 높이 사줄만 하다

그러나 그걸 영화로 만든 양윤호 감독의 도전 정신은 도저히 납득이 안된다"
Seonghwan Steve Noh,5.0,막장인거 같은데 재밌게 보긴 했죠
이동진 평론가,4.5,취향 자체가 최고의 무기가 된 사례.
김재표,4.0,"&quot;아내를 무서워하는 남자는 없다. 아내를 존중하는 남자만이 있을 뿐이다.&quot;
&quot;자신이 가야할 길은 자신이 정하는 것이다&quot;
 -엽문-"
정현,5.0,마틴과 베니가 다투는 영화군.
LP,2.0,해가 중천에서 뜨겠다.
Ki-doo Kyung,3.0,"나는 불이다
나는 죽음이다
1년 전 그렇게 너는 말했다
1년 전 그렇게 나는 너가 무서웠다
이리도 널 기다렸는데
이렇게 널 빨리 보낼 줄 몰랐다
서운하다
스마우그
너란 용"
정영훈,1.0,한중일 합작 런닝맨.
MOONY,1.0,한동안 잊고살았다가 왓차 앱 깔고나서야 기억났다. 그만큼 잊어버려도 별 가치없는 영화
안준서,4.0,"시간이 지나면 잊혀진다는 말.

아니, 그리움과 슬픔에 익숙해질 뿐이지

시간이 갈수록 그리움은 커져간단다..

-평범한 8반 (월요웹툰 /영파카)"
