,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
79,무간도 2 - 혼돈의 시대,5.0,3.73762,,42968.0,3030.0,325.0,103.0,2003.0,131,197,1132,872,2434,4105,8658,2458,14252,8729,유위강 황추생 증지위 유가령 15세관람가 범죄 홍콩
80,원초적 본능,4.0,3.48095,,49078.0,5140.0,376.0,123.0,1992.0,147,339,1071,1467,3562,6110,14207,1703,15625,4847,폴버호벤 마이클더글라스 샤론스톤 조지던자 청소년관람불가 스릴러 미국
81,행오버 2,3.0,3.34124,,56110.0,3295.0,446.0,102.0,2011.0,488,874,1760,3479,5465,6671,15243,1583,14433,6114,토드필립스 브래들리쿠퍼 에드헬름스 자흐갈리피아나키스 청소년관람불가 코미디 미국
82,구르믈 버서난 달처럼,3.0,3.05825,,74057.0,2808.0,590.0,111.0,2010.0,937,1844,2768,6761,9599,9204,24015,1487,13837,3606,이준익 차승원 한지혜 백성현 15세관람가 드라마 한국
83,순정만화,2.0,2.91054,,62482.0,1325.0,444.0,113.0,2008.0,1091,2025,3897,5504,10371,5774,19465,1002,10019,3334,류장하 박혜진 김해자 손지효 12세관람가 로맨틱 코미디 한국
84,용서받지 못한 자,3.0,3.59378,,57372.0,6038.0,852.0,121.0,2005.0,249,356,1359,1403,3352,8042,12624,3585,20221,6181,윤종빈 하정우 서장원 윤종빈 15세관람가 드라마 한국
85,용의자,1.0,3.31001,,113276.0,4123.0,1840.0,137.0,2013.0,1234,2263,2714,8874,9511,17918,30599,4057,26290,9816,원신연 공유 박희순 조성하 15세관람가 액션 한국
86,더 리더 - 책 읽어주는 남자,3.0,3.64524,,71552.0,17666.0,986.0,123.0,2008.0,200,408,1454,1913,4107,9416,15844,5030,23360,9820,스티븐달드리 랄프파인즈 자넷헤인 데이빗크로스 청소년관람불가 로맨스 멜로 미국 독일
87,행운을 돌려줘,3.0,3.31421,,69624.0,4270.0,404.0,102.0,2006.0,300,885,2007,3944,6158,8855,22162,1543,18206,5564,도날드페트리 린제이로한 크리스파인 페이즌러브 12세관람가 로맨틱 코미디 미국
88,서양골동양과자점 앤티크,2.0,2.81486,3.0,117293.0,2122.0,655.0,109.0,2008.0,3513,4993,7599,12307,18488,12985,34673,1704,16685,4346,민규동 주지훈 유아인 김재욱 15세관람가 드라마 한국
89,시실리 2km,3.0,2.78675,,98890.0,622.0,424.0,109.0,2004.0,2853,3938,7749,8310,17666,10123,28275,1358,15074,3544,신정원 임창정 권오중 임은경 15세관람가 코미디 한국
90,착신아리,1.0,2.57139,,80766.0,562.0,398.0,112.0,2003.0,3665,3002,11234,5759,15653,5722,21913,807,9998,3013,미이케다카시 시바사키코우 츠츠미신이치 후키이시카즈에 12세관람가 공포 일본
91,화산고,1.0,2.42466,,128100.0,380.0,675.0,121.0,2001.0,7536,7724,15841,12931,27679,9232,32547,887,10862,2861,김태균 장혁 신민아 허준호 12세관람가 액션 한국
